serial,ppg,ppg_h,timestamp
0,-127.0,-62.0,2021-05-06 21:08:43+00:00
1,71.0,-62.0,2021-05-06 21:08:43+00:00
2,24.0,-62.0,2021-05-06 21:08:43+00:00
3,8.0,-62.0,2021-05-06 21:08:43+00:00
4,-13.0,-63.0,2021-05-06 21:08:43+00:00
5,-72.0,-62.0,2021-05-06 21:08:43+00:00
6,-123.0,-61.0,2021-05-06 21:08:43+00:00
7,81.0,-61.0,2021-05-06 21:08:43+00:00
8,-106.0,-62.0,2021-05-06 21:08:43+00:00
9,-123.0,-62.0,2021-05-06 21:08:43+00:00
10,-75.0,-62.0,2021-05-06 21:08:43+00:00
11,21.0,-61.0,2021-05-06 21:08:43+00:00
12,94.0,-61.0,2021-05-06 21:08:43+00:00
13,-97.0,-61.0,2021-05-06 21:08:43+00:00
14,-80.0,-61.0,2021-05-06 21:08:43+00:00
15,-87.0,-61.0,2021-05-06 21:08:43+00:00
16,97.0,-61.0,2021-05-06 21:08:43+00:00
17,-24.0,-62.0,2021-05-06 21:08:43+00:00
18,127.0,-62.0,2021-05-06 21:08:43+00:00
19,53.0,-62.0,2021-05-06 21:08:43+00:00
20,36.0,-62.0,2021-05-06 21:08:43+00:00
21,64.0,-62.0,2021-05-06 21:08:43+00:00
22,-83.0,-62.0,2021-05-06 21:08:43+00:00
23,-120.0,-61.0,2021-05-06 21:08:43+00:00
24,33.0,-72.0,2021-05-06 21:08:43+00:00
0,97.0,-60.0,2021-05-06 21:08:44+00:00
1,68.0,-61.0,2021-05-06 21:08:44+00:00
2,37.0,-61.0,2021-05-06 21:08:44+00:00
3,18.0,-61.0,2021-05-06 21:08:44+00:00
4,14.0,-61.0,2021-05-06 21:08:44+00:00
5,46.0,-61.0,2021-05-06 21:08:44+00:00
6,83.0,-61.0,2021-05-06 21:08:44+00:00
7,31.0,-61.0,2021-05-06 21:08:44+00:00
8,-79.0,-62.0,2021-05-06 21:08:44+00:00
9,69.0,-62.0,2021-05-06 21:08:44+00:00
10,6.0,-62.0,2021-05-06 21:08:44+00:00
11,-22.0,-63.0,2021-05-06 21:08:44+00:00
12,-49.0,-63.0,2021-05-06 21:08:44+00:00
13,-61.0,-63.0,2021-05-06 21:08:44+00:00
14,-72.0,-63.0,2021-05-06 21:08:44+00:00
15,-85.0,-63.0,2021-05-06 21:08:44+00:00
16,-91.0,-63.0,2021-05-06 21:08:44+00:00
17,-102.0,-63.0,2021-05-06 21:08:44+00:00
18,-98.0,-63.0,2021-05-06 21:08:44+00:00
